team,year,rank,points,year,rank,points,year,rank,points,year,rank,points,year,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,season,totalPPA,percentPPA
Florida International,2014,109,100.66,2015,100,120.42,2016,104,119.8,2017,83,137.75,2014,12,4,8,0,12,5,7,0,12,4,8,0,13,8,5,0,2018,87.9,0.228
Connecticut,2014,110,98.31,2015,99,120.89,2016,99,126.83,2017,101,121.64,2014,12,2,10,0,13,6,7,0,12,3,9,0,12,3,9,0,2018,168.2,0.522
Utah State,2014,111,97.8,2015,96,124.56,2016,92,130.65,2017,104,120.0,2014,14,10,4,0,13,6,7,0,12,3,9,0,13,6,7,0,2018,204.9,0.699
Air Force,2014,112,97.78,2015,123,98.02,2016,114,110.9,2017,109,115.88,2014,13,10,3,0,14,8,6,0,13,10,3,0,12,5,7,0,2018,210.7,0.667
Akron,2014,113,97.33,2015,127,82.38,2016,132,82.29,2017,131,88.91,2014,12,5,7,0,13,8,5,0,12,5,7,0,14,7,7,0,2018,84.0,0.335
South Alabama,2014,115,96.08,2015,88,132.17,2016,87,134.08,2017,116,110.24,2014,13,6,7,0,12,5,7,0,13,6,7,0,12,4,8,0,2018,137.2,0.638
Central Michigan,2014,116,91.2,2015,97,123.63,2016,107,112.52,2017,93,127.4,2014,13,7,6,0,13,7,6,0,13,6,7,0,13,8,5,0,2018,61.5,0.198
UNLV,2014,117,91.15,2015,106,119.46,2016,81,142.78,2017,117,109.9,2014,13,2,11,0,12,3,9,0,12,4,8,0,12,5,7,0,2018,244.2,0.783
UTEP,2014,118,89.53,2015,128,73.03,2016,125,99.39,2017,133,85.51,2014,13,7,6,0,12,5,7,0,12,4,8,0,12,0,12,0,2018,11.3,0.323
UMass,2014,120,87.9,2015,107,118.12,2016,86,136.04,2017,110,115.82,2014,12,3,9,0,12,3,9,0,12,2,10,0,12,4,8,0,2018,380.0,0.862
Army,2014,121,87.22,2015,120,100.83,2016,117,108.9,2017,120,106.37,2014,12,4,8,0,12,2,10,0,13,8,5,0,13,10,3,0,2018,165.8,0.599
New Mexico State,2014,122,86.79,2015,125,87.78,2016,128,94.49,2017,129,94.57,2014,12,2,10,0,12,3,9,0,12,3,9,0,13,7,6,0,2018,141.1,0.314
Kent State,2014,123,86.65,2015,102,119.93,2016,131,82.77,2017,128,94.88,2014,11,2,9,0,12,3,9,0,12,3,9,0,12,2,10,0,2018,59.6,0.805
Eastern Michigan,2014,124,84.89,2015,115,110.15,2016,121,102.89,2017,123,100.97,2014,12,2,10,0,12,1,11,0,13,7,6,0,12,5,7,0,2018,49.3,0.183
Miami (OH),2014,125,84.76,2015,74,150.48,2016,93,129.79,2017,94,126.73,2014,12,2,10,0,12,3,9,0,13,6,7,0,12,5,7,0,2018,206.3,0.661
Louisiana Monroe,2014,126,84.48,2015,108,116.67,2016,124,99.51,2017,102,121.55,2014,12,4,8,0,13,2,11,0,12,4,8,0,12,4,8,0,2018,353.2,0.803
UT San Antonio,2014,127,81.73,2015,103,119.88,2016,103,120.32,2017,75,151.48,2014,12,4,8,0,12,3,9,0,13,6,7,0,11,6,5,0,2018,23.2,0.087
Wyoming,2014,128,80.87,2015,113,114.32,2016,116,109.65,2017,99,122.05,2014,12,4,8,0,12,2,10,0,14,8,6,0,13,8,5,0,2018,116.2,0.57
Idaho,2014,129,77.86,2015,121,98.54,2016,123,101.42,2017,134,83.36,2014,11,1,10,0,12,4,8,0,13,9,4,0,12,4,8,0,2018,50.9,0.209
Troy,2014,132,64.21,2015,117,107.58,2016,98,127.73,2017,96,123.9,2014,12,3,9,0,12,4,8,0,13,10,3,0,13,11,2,0,2018,165.4,0.411
